"Epoch","Backprop"
"1","91.459999"
"2","92.830002"
"3","92.820000"
"4","94.120003"
"5","94.190002"
"6","94.550003"
"7","94.900002"
"8","94.510002"
"9","94.769997"
"10","94.940002"
"11","95.070000"
"12","95.199997"
"13","95.180000"
"14","95.349998"
"15","95.389999"
"16","95.239998"
"17","95.559998"
"18","95.250000"
"19","95.400002"
"20","95.410004"
"21","95.419998"
"22","95.180000"
"23","95.519997"
"24","95.230003"
"25","95.440002"
"26","95.449997"
"27","95.730003"
"28","95.430000"
"29","95.610001"
"30","95.540001"
